"No.","Time","signal strength","Source","Destination","Info","Length"
"8417","392.648360471","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=742/58882, ttl=64 (request in 8416)","172"
"8418","392.650274788","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=742/58882, ttl=64","161"
"8422","393.024107906","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=912/36867, ttl=64 (no response found!)","161"
"8428","393.646258154","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=743/59138, ttl=64 (no response found!)","172"
"8429","393.864454531","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=912/36867, ttl=64 (reply in 8431)","162"
"8430","393.864487469","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=743/59138, ttl=64 (reply in 8432)","172"
"8431","394.002483309","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=912/36867, ttl=64 (request in 8429)","161"
"8432","394.002575268","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=743/59138, ttl=64 (request in 8430)","172"
"8433","394.022868505","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=913/37123, ttl=64 (no response found!)","161"
"8434","394.025345887","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=913/37123, ttl=64 (reply in 8435)","161"
"8435","394.025741382","-80 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=913/37123, ttl=64 (request in 8434)","172"
"8436","394.027993354","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=913/37123, ttl=64","161"
"8440","394.264297831","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=743/59138, ttl=64","161"
"8446","394.647857205","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=744/59394, ttl=64 (no response found!)","172"
"8447","394.649946435","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=744/59394, ttl=64 (reply in 8448)","161"
"8448","394.692566529","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=744/59394, ttl=64 (request in 8447)","172"
"8449","394.694560869","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=744/59394, ttl=64","161"
"8450","395.025245476","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=914/37379, ttl=64 (no response found!)","161"
"8454","395.192111778","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=914/37379, ttl=64 (reply in 8455)","161"
"8455","395.195868711","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=914/37379, ttl=64 (request in 8454)","161"
"8460","395.651105006","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=745/59650, ttl=64 (no response found!)","172"
"8461","395.652834498","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=745/59650, ttl=64 (reply in 8462)","161"
"8462","395.668759507","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=745/59650, ttl=64 (request in 8461)","172"
"8463","395.670291024","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=745/59650, ttl=64","172"
"8464","395.672470382","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=745/59650, ttl=64","161"
"8465","395.672489566","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=745/59650, ttl=64","161"
"8466","396.026636191","-60 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=915/37635, ttl=64 (no response found!)","161"
"8487","396.651168445","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=746/59906, ttl=64 (no response found!)","172"
"8490","397.060210340","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=916/37891, ttl=64 (no response found!)","161"
"8499","397.233554757","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=915/37635, ttl=64 (no response found!)","162"
