S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-70 dBm;-71 dBm;-53 dBm;-62 dBm
-72 dBm;-62 dBm;-55 dBm;-54 dBm
-55 dBm;-71 dBm;-52 dBm;-47 dBm
-63 dBm;-71 dBm;-53 dBm;-54 dBm
-55 dBm;-71 dBm;-52 dBm;-54 dBm
-55 dBm;-71 dBm;-52 dBm;-61 dBm
-54 dBm;-72 dBm;-53 dBm;-54 dBm
-53 dBm;-71 dBm;-51 dBm;-46 dBm
-53 dBm;-71 dBm;-53 dBm;-54 dBm
-63 dBm;-71 dBm;-53 dBm;-62 dBm
-52 dBm;-71 dBm;-52 dBm;-54 dBm
-54 dBm;-71 dBm;-53 dBm;-47 dBm
-55 dBm;-72 dBm;-53 dBm;-53 dBm
-63 dBm;-71 dBm;-63 dBm;-61 dBm
-54 dBm;-72 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-47 dBm;-47 dBm
-63 dBm;-63 dBm;-54 dBm;-47 dBm
-54 dBm;-62 dBm;-63 dBm;-54 dBm
-73 dBm;-62 dBm;-53 dBm;-62 dBm
-54 dBm;-72 dBm;-47 dBm;-54 dBm
-63 dBm;-54 dBm;-54 dBm;-47 dBm
-55 dBm;-62 dBm;-63 dBm;-54 dBm
-52 dBm;-54 dBm;-54 dBm;-62 dBm
-64 dBm;-54 dBm;-40 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-47 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-55 dBm;-61 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-63 dBm;-55 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-71 dBm;-71 dBm;-47 dBm;-54 dBm
-71 dBm;-72 dBm;-54 dBm;-55 dBm
-71 dBm;-72 dBm;-63 dBm;-53 dBm
-72 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-71 dBm;-48 dBm;-54 dBm
-66 dBm;-71 dBm;-54 dBm;-54 dBm
-66 dBm;-71 dBm;-63 dBm;-47 dBm
-65 dBm;-71 dBm;-64 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-71 dBm;-47 dBm;-54 dBm
-54 dBm;-71 dBm;-47 dBm;-47 dBm
-54 dBm;-71 dBm;-39 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-62 dBm
-61 dBm;-72 dBm;-63 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-54 dBm
-55 dBm;-53 dBm;-46 dBm;-54 dBm
-70 dBm;-63 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-64 dBm;-54 dBm
-64 dBm;-70 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-47 dBm;-55 dBm
-54 dBm;-71 dBm;-54 dBm;-47 dBm
-64 dBm;-70 dBm;-63 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-70 dBm;-55 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-47 dBm
-54 dBm;-70 dBm;-54 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-62 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-71 dBm;-71 dBm;-54 dBm;-47 dBm
-71 dBm;-70 dBm;-54 dBm;-54 dBm
-71 dBm;-71 dBm;-47 dBm;-61 dBm
-72 dBm;-71 dBm;-54 dBm;-54 dBm
-71 dBm;-61 dBm;-63 dBm;-47 dBm
-71 dBm;-56 dBm;-53 dBm;-54 dBm
-71 dBm;-70 dBm;-47 dBm;-62 dBm
-71 dBm;-54 dBm;-54 dBm;-54 dBm
-72 dBm;-62 dBm;-53 dBm;-46 dBm
-71 dBm;-70 dBm;-63 dBm;-54 dBm
-71 dBm;-71 dBm;-54 dBm;-55 dBm
-71 dBm;-70 dBm;-47 dBm;-62 dBm
-63 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-71 dBm;-63 dBm;-46 dBm
-54 dBm;-71 dBm;-54 dBm;-53 dBm
-54 dBm;-71 dBm;-54 dBm;-63 dBm
-54 dBm;-62 dBm;-48 dBm;-54 dBm
-53 dBm;-54 dBm;-54 dBm;-47 dBm
