S1A1(10);S2A1(10);S1L2(10);S2L2(10)
-73 dBm;-70 dBm;-63 dBm;-63 dBm
-72 dBm;-68 dBm;-53 dBm;-53 dBm
-72 dBm;-67 dBm;-84 dBm;-52 dBm
-72 dBm;-70 dBm;-54 dBm;-52 dBm
-72 dBm;-53 dBm;-69 dBm;-52 dBm
-72 dBm;-62 dBm;-54 dBm;-62 dBm
-72 dBm;-54 dBm;-80 dBm;-53 dBm
-72 dBm;-53 dBm;-54 dBm;-52 dBm
-72 dBm;-72 dBm;-62 dBm;-53 dBm
-72 dBm;-72 dBm;-78 dBm;-53 dBm
-72 dBm;-72 dBm;-54 dBm;-52 dBm
-72 dBm;-72 dBm;-66 dBm;-62 dBm
-72 dBm;-54 dBm;-54 dBm;-52 dBm
-72 dBm;-63 dBm;-54 dBm;-53 dBm
-62 dBm;-53 dBm;-83 dBm;-54 dBm
-63 dBm;-54 dBm;-83 dBm;-62 dBm
-69 dBm;-54 dBm;-82 dBm;-53 dBm
-71 dBm;-54 dBm;-53 dBm;-54 dBm
-71 dBm;-53 dBm;-67 dBm;-83 dBm
-69 dBm;-71 dBm;-54 dBm;-81 dBm
-69 dBm;-55 dBm;-83 dBm;-81 dBm
-71 dBm;-63 dBm;-53 dBm;-81 dBm
-69 dBm;-54 dBm;-66 dBm;-82 dBm
-68 dBm;-54 dBm;-53 dBm;-54 dBm
-71 dBm;-54 dBm;-82 dBm;-81 dBm
-72 dBm;-54 dBm;-53 dBm;-54 dBm
-71 dBm;-54 dBm;-66 dBm;-61 dBm
-68 dBm;-70 dBm;-52 dBm;-50 dBm
-72 dBm;-54 dBm;-82 dBm;-82 dBm
-72 dBm;-62 dBm;-81 dBm;-81 dBm
-53 dBm;-54 dBm;-54 dBm;-81 dBm
-53 dBm;-55 dBm;-67 dBm;-82 dBm
-63 dBm;-54 dBm;-54 dBm;-81 dBm
-53 dBm;-53 dBm;-53 dBm;-53 dBm
-70 dBm;-53 dBm;-53 dBm;-51 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-62 dBm;-54 dBm;-54 dBm;-62 dBm
-52 dBm;-63 dBm;-83 dBm;-53 dBm
-72 dBm;-53 dBm;-82 dBm;-51 dBm
-72 dBm;-55 dBm;-82 dBm;-50 dBm
-71 dBm;-54 dBm;-54 dBm;-53 dBm
-70 dBm;-53 dBm;-67 dBm;-81 dBm
-71 dBm;-53 dBm;-53 dBm;-53 dBm
-72 dBm;-71 dBm;-83 dBm;-61 dBm
-54 dBm;-72 dBm;-83 dBm;-62 dBm
-62 dBm;-53 dBm;-83 dBm;-51 dBm
-53 dBm;-63 dBm;-53 dBm;-53 dBm
-54 dBm;-53 dBm;-62 dBm;-54 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-53 dBm;-53 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-54 dBm;-83 dBm
-55 dBm;-54 dBm;-62 dBm;-53 dBm
-63 dBm;-71 dBm;-54 dBm;-63 dBm
