No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
169;8.246.171.300;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
170;8.249.526.904;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
171;8.250.596.839;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
172;8.252.168.310;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (reply in 173);161;192.168.1.102;;-53 dBm;
173;8.253.425.825;-67 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=172/44032, ttl=64 (request in 172);172;192.168.1.102;;-67 dBm;
174;8.255.576.350;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=172/44032, ttl=64;161;192.168.1.102;;-54 dBm;
189;9.157.405.912;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=118/30208, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
190;9.158.900.751;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=118/30208, ttl=64 (reply in 191);161;;192.168.1.106;;-52 dBm
191;9.160.983.385;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=118/30208, ttl=64 (request in 190);172;;192.168.1.106;;-70 dBm
192;9.163.116.554;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=118/30208, ttl=64;161;;192.168.1.106;;-52 dBm
193;9.241.343.095;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=173/44288, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
194;9.243.380.241;-51 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=173/44288, ttl=64 (reply in 195);161;192.168.1.102;;-51 dBm;
195;9.244.691.674;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=173/44288, ttl=64 (request in 194);172;192.168.1.102;;-70 dBm;
196;9.247.076.589;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=173/44288, ttl=64;161;192.168.1.102;;-53 dBm;
209;10.159.124.018;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=119/30464, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
210;10.160.746.518;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=119/30464, ttl=64 (reply in 211);161;;192.168.1.106;;-53 dBm
211;10.163.248.500;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=119/30464, ttl=64 (request in 210);172;;192.168.1.106;;-70 dBm
212;10.165.370.235;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=119/30464, ttl=64;161;;192.168.1.106;;-52 dBm
213;10.238.860.513;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=174/44544, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
214;10.240.275.893;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=174/44544, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
215;10.241.210.964;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=174/44544, ttl=64 (reply in 216);161;192.168.1.102;;-52 dBm;
216;10.243.511.885;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=174/44544, ttl=64 (request in 215);172;192.168.1.102;;-70 dBm;
217;10.246.576.489;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=174/44544, ttl=64;161;192.168.1.102;;-52 dBm;
218;10.246.600.105;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=174/44544, ttl=64;161;192.168.1.102;;-52 dBm;
219;10.246.615.689;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=174/44544, ttl=64;161;192.168.1.102;;-53 dBm;
220;10.246.630.909;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=174/44544, ttl=64;161;192.168.1.102;;-52 dBm;
232;11.160.392.291;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=120/30720, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
233;11.242.494.376;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=175/44800, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
236;11.483.785.289;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=120/30720, ttl=64 (reply in 238);162;;192.168.1.106;;0
237;11.483.812.363;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=175/44800, ttl=64 (reply in 239);172;192.168.1.102;;-53 dBm;
238;11.487.002.403;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=120/30720, ttl=64 (request in 236);172;;192.168.1.106;;-69 dBm
239;11.487.330.123;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=175/44800, ttl=64 (request in 237);172;192.168.1.102;;-69 dBm;
240;11.489.543.565;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=120/30720, ttl=64;161;;192.168.1.106;;-54 dBm
241;11.489.580.856;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=175/44800, ttl=64;161;192.168.1.102;;-52 dBm;
252;12.163.416.175;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
253;12.163.443.467;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
254;12.163.458.970;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
255;12.163.474.997;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
256;12.164.604.603;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
257;12.164.628.209;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
258;12.165.507.395;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=121/30976, ttl=64 (reply in 259);161;;192.168.1.106;;-52 dBm
259;12.167.901.186;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=121/30976, ttl=64 (request in 258);172;;192.168.1.106;;-70 dBm
260;12.169.472.414;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=121/30976, ttl=64;161;;192.168.1.106;;-53 dBm
261;12.242.017.190;-67 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=176/45056, ttl=64 (no response found!);172;192.168.1.102;;-67 dBm;
262;12.243.862.674;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=176/45056, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
263;12.243.888.176;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=176/45056, ttl=64 (reply in 264);161;192.168.1.102;;-54 dBm;
264;12.246.406.546;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=176/45056, ttl=64 (request in 263);172;192.168.1.102;;-69 dBm;
265;12.248.198.901;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=176/45056, ttl=64;161;192.168.1.102;;-52 dBm;
282;13.162.625.556;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
283;13.242.805.030;-65 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);172;192.168.1.102;;-65 dBm;
284;13.320.566.427;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);162;;192.168.1.106;;0
285;13.320.591.908;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);162;192.168.1.102;;0;
286;13.320.883.294;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);162;;192.168.1.106;;0
287;13.320.911.777;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=177/45312, ttl=64 (no response found!);162;192.168.1.102;;0;
288;13.321.536.187;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=122/31232, ttl=64 (no response found!);162;;192.168.1.106;;0
